shipment_id,origin,destination,distance_km,weather_condition,temperature,rainfall,traffic_level,route_type,package_weight,shipment_type,dispatch_time,historical_delay_rate,estimated_delivery_time,actual_delivery_time,delay_minutes,delay_status,traffic_score,weather_score,route_score,traffic_distance_interaction,weather_traffic_interaction,dispatch_hour,is_peak_hour,distance_category
41,2,8,1407.9,4,12.5,66.6,2,2,35.5,1,2025-12-27 15:00:00,0.05,1877.2,1932.7,55.5,On Time,2,3,2,2815.8,6,15,0,3
42,5,0,185.3,0,37.2,0.0,0,1,28.1,2,2025-05-16 09:00:00,0.25,247.1,307.8,60.7,On Time,3,0,1,555.9000000000001,0,9,1,1
43,3,5,131.5,1,14.2,0.6,0,3,32.6,1,2025-04-18 16:00:00,0.45,175.3,276.8,101.5,Slight Delay,3,1,3,394.5,3,16,0,1
44,2,4,166.1,5,29.4,77.7,3,3,26.4,2,2025-02-17 19:00:00,0.38,221.5,429.4,207.9,Severe Delay,4,5,3,664.4,20,19,1,1
45,6,7,110.0,0,19.8,0.0,0,0,47.5,1,2025-05-15 11:00:00,0.53,146.7,239.4,92.7,Slight Delay,3,0,4,330.0,0,11,0,1
46,9,5,173.9,2,44.1,0.0,3,1,49.3,2,2025-02-08 10:00:00,0.42,231.9,336.1,104.2,Slight Delay,4,2,1,695.6,8,10,1,1
47,0,7,1823.6,4,38.8,76.2,2,2,36.4,2,2025-01-22 15:00:00,0.37,2431.5,2525.0,93.5,Slight Delay,2,3,2,3647.2,6,15,0,3
48,4,7,1974.8,4,15.3,49.6,2,0,19.4,1,2025-02-22 17:00:00,0.58,2633.1,2743.2,110.1,Slight Delay,2,3,4,3949.6,6,17,1,3
49,0,8,131.6,5,40.3,66.0,2,0,50.0,2,2025-04-01 19:00:00,0.6,175.5,310.4,134.9,Moderate Delay,2,5,4,263.2,10,19,1,1
50,7,2,1909.0,2,31.2,0.0,0,2,11.8,1,2025-05-08 14:00:00,0.4,2545.3,2679.5,134.2,Moderate Delay,3,2,2,5727.0,6,14,0,3
51,1,3,1549.2,3,28.2,68.9,1,2,27.8,2,2025-04-13 20:00:00,0.34,2065.6,2185.5,119.9,Moderate Delay,1,4,2,1549.2,4,20,1,3
52,4,6,441.7,1,14.8,0.1,2,1,17.9,1,2025-04-09 18:00:00,0.35,588.9,635.6,46.7,On Time,2,1,1,883.4,2,18,1,1
53,4,6,1571.6,0,23.9,0.0,0,3,31.3,1,2025-09-18 18:00:00,0.52,2095.5,2194.6,99.1,Slight Delay,3,0,3,4714.799999999999,0,18,1,3
54,0,4,995.4,0,21.5,0.0,1,3,31.9,2,2025-10-25 14:00:00,0.14,1327.2,1356.9,29.7,On Time,1,0,3,995.4,0,14,0,0
55,7,1,1288.9,5,16.4,30.9,3,3,44.9,1,2025-06-10 19:00:00,0.28,1718.5,1879.1,160.6,Moderate Delay,4,5,3,5155.6,20,19,1,3
56,5,0,195.6,0,14.2,0.0,3,0,23.3,0,2025-01-23 19:00:00,0.12,260.8,364.1,103.3,Slight Delay,4,0,4,782.4,0,19,1,1
57,7,5,1263.2,5,12.9,70.5,2,3,46.1,0,2025-02-05 16:00:00,0.04,1684.3,1791.2,106.9,Slight Delay,2,5,3,2526.4,10,16,0,3
58,5,4,1244.1,2,22.9,0.0,1,3,23.4,1,2025-06-08 19:00:00,0.45,1658.8,1726.4,67.6,On Time,1,2,3,1244.1,2,19,1,3
59,4,9,1073.6,2,13.8,0.0,0,0,22.6,2,2025-08-04 18:00:00,0.32,1431.5,1530.3,98.8,Slight Delay,3,2,4,3220.7999999999997,6,18,1,3
60,1,4,257.1,3,41.2,49.5,1,3,34.1,0,2025-04-18 19:00:00,0.47,342.8,428.0,85.2,Slight Delay,1,4,3,257.1,4,19,1,1
61,5,4,874.7,3,14.5,26.3,3,2,18.5,1,2025-04-20 22:00:00,0.39,1166.3,1319.3,153.0,Moderate Delay,4,4,2,3498.8,16,22,0,0
62,9,1,389.4,2,20.0,0.0,1,3,9.1,1,2025-12-06 16:00:00,0.54,519.2,572.3,53.1,On Time,1,2,3,389.4,2,16,0,1
63,3,6,807.8,2,43.9,0.0,0,0,43.3,2,2025-03-17 06:00:00,0.49,1077.1,1194.3,117.2,Moderate Delay,3,2,4,2423.3999999999996,6,6,0,0
64,7,6,1543.6,3,16.5,29.3,1,2,21.6,0,2025-11-19 12:00:00,0.3,2058.1,2151.1,93.0,Slight Delay,1,4,2,1543.6,4,12,0,3
65,8,0,325.6,3,26.8,44.9,2,0,3.1,1,2025-12-19 06:00:00,0.2,434.1,525.6,91.5,Slight Delay,2,4,4,651.2,8,6,0,1
66,3,9,1525.3,1,30.8,2.4,2,2,20.9,2,2025-10-13 13:00:00,0.21,2033.7,2094.0,60.3,On Time,2,1,2,3050.6,2,13,0,3
67,3,0,1877.9,1,16.3,0.3,3,3,37.2,0,2025-11-10 22:00:00,0.34,2503.9,2629.1,125.2,Moderate Delay,4,1,3,7511.6,4,22,0,3
68,8,5,1337.1,3,28.3,31.9,2,2,43.9,0,2025-05-13 13:00:00,0.24,1782.8,1888.1,105.3,Slight Delay,2,4,2,2674.2,8,13,0,3
69,6,5,1500.3,3,27.6,22.4,2,3,45.0,0,2025-02-09 15:00:00,0.23,2000.4,2099.9,99.5,Slight Delay,2,4,3,3000.6,8,15,0,3
70,2,4,295.8,4,37.8,51.5,0,1,26.9,2,2025-03-19 13:00:00,0.54,394.4,505.7,111.3,Slight Delay,3,3,1,887.4000000000001,9,13,0,1
71,8,1,86.4,2,29.9,0.0,2,1,38.2,0,2025-07-28 16:00:00,0.53,115.2,190.4,75.2,Slight Delay,2,2,1,172.8,4,16,0,2
72,0,9,316.8,3,18.0,59.2,1,0,36.1,0,2025-07-19 06:00:00,0.38,422.4,501.1,78.7,Slight Delay,1,4,4,316.8,4,6,0,1
73,5,8,1818.7,3,30.4,35.1,1,3,23.4,0,2025-07-19 19:00:00,0.57,2424.9,2546.6,121.7,Moderate Delay,1,4,3,1818.7,4,19,1,3
74,0,5,1846.5,5,34.8,16.4,2,2,29.0,2,2025-05-20 19:00:00,0.36,2462.0,2637.6,175.6,Severe Delay,2,5,2,3693.0,10,19,1,3
75,9,7,244.2,3,44.5,67.9,0,2,6.7,1,2025-03-26 20:00:00,0.55,325.6,455.0,129.4,Moderate Delay,3,4,2,732.5999999999999,12,20,1,1
76,1,5,29.2,0,21.7,0.0,3,1,20.2,2,2025-11-26 19:00:00,0.32,38.9,124.7,85.8,Slight Delay,4,0,1,116.8,0,19,1,2
77,1,0,464.7,1,25.8,0.7,1,3,9.2,0,2025-06-17 12:00:00,0.3,619.6,660.9,41.3,On Time,1,1,3,464.7,1,12,0,1
78,9,4,189.0,4,44.9,42.7,3,3,30.0,0,2025-05-10 08:00:00,0.04,252.0,347.9,95.9,Slight Delay,4,3,3,756.0,12,8,1,1
79,9,7,92.4,2,26.5,0.0,1,3,28.5,2,2025-11-29 08:00:00,0.04,123.2,165.5,42.3,On Time,1,2,3,92.4,2,8,1,2
80,7,3,380.2,1,40.2,4.7,2,1,19.0,1,2025-03-20 13:00:00,0.16,506.9,535.2,28.3,On Time,2,1,1,760.4,2,13,0,1
81,1,0,1324.7,2,10.9,0.0,1,0,11.5,0,2025-12-25 14:00:00,0.14,1766.3,1837.6,71.3,Slight Delay,1,2,4,1324.7,2,14,0,3
82,4,1,216.9,5,18.5,59.2,1,0,42.9,0,2025-02-25 06:00:00,0.5,289.2,418.8,129.6,Moderate Delay,1,5,4,216.9,5,6,0,1
83,6,9,45.7,3,13.0,20.6,2,1,1.8,1,2025-12-20 13:00:00,0.11,60.9,112.2,51.3,On Time,2,4,1,91.4,8,13,0,2
84,3,4,1188.8,2,19.4,0.0,1,1,31.4,0,2025-09-30 19:00:00,0.25,1585.1,1650.3,65.2,On Time,1,2,1,1188.8,2,19,1,3
85,4,3,297.4,5,40.4,41.6,0,1,44.8,0,2025-09-08 09:00:00,0.48,396.5,519.5,123.0,Moderate Delay,3,5,1,892.1999999999999,15,9,1,1
86,8,4,1673.2,2,44.5,0.0,3,0,26.5,0,2025-04-01 22:00:00,0.1,2230.9,2356.6,125.7,Moderate Delay,4,2,4,6692.8,8,22,0,3
87,6,5,562.6,3,29.4,53.9,3,2,41.6,1,2025-10-31 14:00:00,0.12,750.1,886.9,136.8,Moderate Delay,4,4,2,2250.4,16,14,0,0
88,4,2,367.2,0,42.0,0.0,0,2,21.2,2,2025-08-26 18:00:00,0.23,489.6,554.0,64.4,On Time,3,0,2,1101.6,0,18,1,1
89,4,7,1214.2,3,18.6,34.2,0,0,14.8,0,2025-04-19 17:00:00,0.21,1618.9,1760.1,141.2,Moderate Delay,3,4,4,3642.6000000000004,12,17,1,3
90,6,8,445.6,4,11.1,24.7,0,1,30.0,1,2025-04-08 08:00:00,0.03,594.1,660.6,66.5,On Time,3,3,1,1336.8000000000002,9,8,1,1
91,2,9,168.8,3,35.5,42.2,2,2,34.6,1,2025-12-31 21:00:00,0.26,225.1,281.4,56.3,On Time,2,4,2,337.6,8,21,0,1
92,9,7,201.3,0,42.1,0.0,0,0,7.3,0,2025-12-21 13:00:00,0.57,268.4,375.5,107.1,Slight Delay,3,0,4,603.9000000000001,0,13,0,1
93,6,8,1617.0,3,33.1,56.9,0,2,42.5,1,2025-10-09 16:00:00,0.15,2156.0,2292.8,136.8,Moderate Delay,3,4,2,4851.0,12,16,0,3
94,4,0,377.5,4,29.9,73.7,0,3,2.2,2,2025-03-03 12:00:00,0.42,503.3,627.8,124.5,Moderate Delay,3,3,3,1132.5,9,12,0,1
95,4,3,1726.8,2,39.6,0.0,2,0,16.3,2,2025-09-05 14:00:00,0.5,2302.4,2385.0,82.6,Slight Delay,2,2,4,3453.6,4,14,0,3
96,5,0,1455.0,5,12.3,28.6,0,1,27.2,2,2025-06-01 13:00:00,0.47,1940.0,2111.3,171.3,Severe Delay,3,5,1,4365.0,15,13,0,3
97,4,1,68.3,4,40.5,6.6,1,0,43.8,0,2025-01-24 07:00:00,0.32,91.1,157.7,66.6,On Time,1,3,4,68.3,3,7,1,2
98,0,6,1262.5,2,40.6,0.0,2,2,49.2,2,2025-01-07 15:00:00,0.46,1683.3,1748.2,64.9,On Time,2,2,2,2525.0,4,15,0,3
99,9,0,722.2,3,20.1,27.2,0,0,12.1,2,2025-05-10 21:00:00,0.03,962.9,1090.5,127.6,Moderate Delay,3,4,4,2166.6000000000004,12,21,0,0
100,3,1,1890.6,3,26.4,51.0,3,1,8.8,1,2025-11-19 07:00:00,0.59,2520.8,2725.4,204.6,Severe Delay,4,4,1,7562.4,16,7,1,3
101,1,2,476.7,5,16.2,21.5,0,1,9.7,2,2025-03-02 19:00:00,0.47,635.6,796.4,160.8,Moderate Delay,3,5,1,1430.1,15,19,1,1
102,5,2,1398.1,5,15.4,66.2,3,2,11.6,0,2025-06-02 19:00:00,0.13,1864.1,2047.2,183.1,Severe Delay,4,5,2,5592.4,20,19,1,3
103,6,7,545.9,5,14.5,71.7,1,0,47.8,1,2025-04-19 14:00:00,0.52,727.9,842.5,114.6,Slight Delay,1,5,4,545.9,5,14,0,0
104,3,2,1452.4,1,27.4,0.4,2,1,11.4,2,2025-01-02 19:00:00,0.41,1936.5,2006.4,69.9,On Time,2,1,1,2904.8,2,19,1,3
105,9,0,1652.9,4,22.2,55.9,1,0,28.5,0,2025-12-28 15:00:00,0.16,2203.9,2311.3,107.4,Slight Delay,1,3,4,1652.9,3,15,0,3
106,9,3,1401.0,2,33.8,0.0,2,3,31.1,1,2025-10-29 12:00:00,0.45,1868.0,1974.3,106.3,Slight Delay,2,2,3,2802.0,4,12,0,3
107,8,3,275.2,5,21.7,60.8,2,0,8.5,0,2025-03-14 08:00:00,0.49,366.9,512.4,145.5,Moderate Delay,2,5,4,550.4,10,8,1,1
108,7,2,534.4,4,32.2,45.5,0,2,39.1,2,2025-08-28 15:00:00,0.06,712.5,803.4,90.9,Slight Delay,3,3,2,1603.1999999999998,9,15,0,0
109,8,6,1865.4,5,13.6,75.3,3,2,34.6,2,2025-11-03 07:00:00,0.04,2487.2,2683.8,196.6,Severe Delay,4,5,2,7461.6,20,7,1,3
110,8,4,1745.6,5,44.1,77.7,0,1,37.6,2,2025-04-28 06:00:00,0.08,2327.5,2471.7,144.2,Moderate Delay,3,5,1,5236.799999999999,15,6,0,3
111,6,7,1545.4,1,33.9,2.2,3,2,14.0,0,2025-04-03 19:00:00,0.6,2060.5,2240.1,179.6,Severe Delay,4,1,2,6181.6,4,19,1,3
112,9,3,561.1,3,43.3,16.3,0,2,21.9,0,2025-06-14 09:00:00,0.57,748.1,911.2,163.1,Moderate Delay,3,4,2,1683.3000000000002,12,9,1,0
113,1,8,830.5,3,41.3,22.2,3,3,11.0,1,2025-07-25 07:00:00,0.02,1107.3,1259.0,151.7,Moderate Delay,4,4,3,3322.0,16,7,1,0
114,9,3,1557.7,4,37.0,68.4,0,3,38.2,2,2025-07-26 22:00:00,0.38,2076.9,2202.1,125.2,Moderate Delay,3,3,3,4673.1,9,22,0,3
115,7,5,973.4,3,14.1,14.4,3,1,34.4,2,2025-09-23 17:00:00,0.26,1297.9,1441.1,143.2,Moderate Delay,4,4,1,3893.6,16,17,1,0
116,5,9,921.3,2,10.4,0.0,3,1,4.1,2,2025-05-17 10:00:00,0.24,1228.4,1394.4,166.0,Moderate Delay,4,2,1,3685.2,8,10,1,0
117,6,0,1564.1,2,11.4,0.0,3,1,24.3,2,2025-11-19 13:00:00,0.06,2085.5,2254.7,169.2,Severe Delay,4,2,1,6256.4,8,13,0,3
118,1,4,39.3,5,21.4,43.8,1,2,4.8,2,2025-04-26 09:00:00,0.21,52.4,143.9,91.5,Slight Delay,1,5,2,39.3,5,9,1,2
119,9,3,1385.1,2,38.0,0.0,2,2,10.4,1,2025-05-30 22:00:00,0.1,1846.8,1911.1,64.3,On Time,2,2,2,2770.2,4,22,0,3
120,6,9,1423.9,3,40.5,58.6,3,0,40.2,0,2025-10-10 10:00:00,0.2,1898.5,2070.8,172.3,Severe Delay,4,4,4,5695.6,16,10,1,3
121,8,2,915.6,5,32.5,44.5,2,1,36.7,0,2025-08-01 16:00:00,0.05,1220.8,1312.6,91.8,Slight Delay,2,5,1,1831.2,10,16,0,0
122,0,6,1324.2,0,27.4,0.0,0,3,28.0,1,2025-10-24 21:00:00,0.43,1765.6,1869.6,104.0,Slight Delay,3,0,3,3972.6000000000004,0,21,0,3
123,1,0,1366.9,5,12.5,7.3,3,3,13.3,0,2025-10-10 18:00:00,0.28,1822.5,2035.0,212.5,Severe Delay,4,5,3,5467.6,20,18,1,3
124,9,4,1456.0,1,27.0,4.4,2,2,45.1,2,2025-07-30 07:00:00,0.25,1941.3,2031.5,90.2,Slight Delay,2,1,2,2912.0,2,7,1,3
125,4,0,1270.5,2,35.7,0.0,3,2,7.0,1,2025-11-30 10:00:00,0.43,1694.0,1849.1,155.1,Moderate Delay,4,2,2,5082.0,8,10,1,3
126,9,7,509.5,1,40.5,2.2,0,1,26.0,0,2025-02-21 22:00:00,0.22,679.3,748.2,68.9,On Time,3,1,1,1528.5,3,22,0,0
127,9,7,1320.3,2,21.4,0.0,2,2,38.8,1,2025-03-21 08:00:00,0.08,1760.4,1809.3,48.9,On Time,2,2,2,2640.6,4,8,1,3
128,9,6,1661.2,4,25.1,23.7,3,1,31.0,0,2025-12-12 18:00:00,0.42,2214.9,2362.9,148.0,Moderate Delay,4,3,1,6644.8,12,18,1,3
129,4,0,959.8,5,39.5,65.4,1,1,29.5,2,2025-11-20 15:00:00,0.52,1279.7,1378.9,99.2,Slight Delay,1,5,1,959.8,5,15,0,0
130,2,3,1869.1,3,21.1,43.0,1,1,2.6,0,2025-03-27 15:00:00,0.09,2492.1,2595.3,103.2,Slight Delay,1,4,1,1869.1,4,15,0,3
131,7,3,1738.5,4,25.9,43.7,1,3,24.7,0,2025-07-11 19:00:00,0.4,2318.0,2403.4,85.4,Slight Delay,1,3,3,1738.5,3,19,1,3
132,1,6,898.6,5,40.4,18.3,3,0,34.8,2,2025-03-31 08:00:00,0.5,1198.1,1450.2,252.1,Severe Delay,4,5,4,3594.4,20,8,1,0
133,5,8,1149.8,5,11.1,74.8,2,2,34.6,1,2025-03-15 13:00:00,0.41,1533.1,1658.4,125.3,Moderate Delay,2,5,2,2299.6,10,13,0,3
134,9,6,1569.1,3,29.8,60.4,0,1,44.0,0,2025-05-28 11:00:00,0.24,2092.1,2227.2,135.1,Moderate Delay,3,4,1,4707.299999999999,12,11,0,3
135,3,0,882.5,4,38.6,14.0,0,2,27.5,1,2025-05-09 20:00:00,0.0,1176.7,1236.3,59.6,On Time,3,3,2,2647.5,9,20,1,0
136,6,2,759.0,3,18.0,10.5,3,1,30.4,2,2025-07-15 17:00:00,0.4,1012.0,1180.6,168.6,Moderate Delay,4,4,1,3036.0,16,17,1,0
137,5,6,968.8,2,10.9,0.0,0,1,17.4,1,2025-07-22 14:00:00,0.23,1291.7,1396.7,105.0,Slight Delay,3,2,1,2906.3999999999996,6,14,0,0
138,7,3,1911.9,5,10.6,19.7,3,3,0.9,2,2025-11-07 17:00:00,0.39,2549.2,2786.0,236.8,Severe Delay,4,5,3,7647.6,20,17,1,3
139,2,6,716.2,5,13.5,41.4,0,0,13.2,1,2025-02-19 07:00:00,0.17,954.9,1087.6,132.7,Moderate Delay,3,5,4,2148.6000000000004,15,7,1,0
140,6,0,838.8,0,14.3,0.0,0,0,9.5,2,2025-06-01 16:00:00,0.41,1118.4,1227.4,109.0,Slight Delay,3,0,4,2516.3999999999996,0,16,0,0
141,8,1,528.0,1,43.7,2.4,2,3,40.4,1,2025-09-14 14:00:00,0.33,704.0,767.8,63.8,On Time,2,1,3,1056.0,2,14,0,0
142,1,4,439.8,3,31.4,35.8,0,3,42.1,2,2025-08-28 08:00:00,0.54,586.4,732.3,145.9,Moderate Delay,3,4,3,1319.4,12,8,1,1
143,1,6,859.0,2,33.4,0.0,3,3,5.2,2,2025-07-22 06:00:00,0.37,1145.3,1320.3,175.0,Severe Delay,4,2,3,3436.0,8,6,0,0
144,6,5,66.8,0,32.5,0.0,3,3,30.6,1,2025-12-11 14:00:00,0.33,89.1,199.2,110.1,Slight Delay,4,0,3,267.2,0,14,0,2
145,5,8,290.2,2,34.3,0.0,0,1,20.5,1,2025-04-30 21:00:00,0.26,386.9,474.2,87.3,Slight Delay,3,2,1,870.5999999999999,6,21,0,1
146,7,5,562.8,4,12.8,11.4,2,1,44.8,1,2025-08-26 15:00:00,0.12,750.4,800.9,50.5,On Time,2,3,1,1125.6,6,15,0,0
147,8,3,153.9,1,38.0,1.2,1,1,27.2,0,2025-09-10 09:00:00,0.53,205.2,262.1,56.9,On Time,1,1,1,153.9,1,9,1,1
148,3,6,941.1,5,12.1,47.2,2,2,47.9,0,2025-07-09 19:00:00,0.11,1254.8,1372.0,117.2,Moderate Delay,2,5,2,1882.2,10,19,1,0
149,5,1,1517.2,3,22.2,54.9,1,2,39.9,1,2025-07-28 14:00:00,0.56,2022.9,2164.0,141.1,Moderate Delay,1,4,2,1517.2,4,14,0,3
150,7,8,1051.5,1,31.8,0.4,3,2,37.9,2,2025-07-05 09:00:00,0.08,1402.0,1529.3,127.3,Moderate Delay,4,1,2,4206.0,4,9,1,3
151,4,5,541.0,2,22.6,0.0,0,1,4.8,0,2025-05-22 12:00:00,0.56,721.3,838.2,116.9,Moderate Delay,3,2,1,1623.0,6,12,0,0
152,3,0,1004.0,0,44.7,0.0,2,1,42.6,2,2025-06-20 13:00:00,0.13,1338.7,1379.0,40.3,On Time,2,0,1,2008.0,0,13,0,3
153,1,6,1738.8,0,38.2,0.0,2,0,39.6,2,2025-06-18 10:00:00,0.18,2318.4,2399.8,81.4,Slight Delay,2,0,4,3477.6,0,10,1,3
154,5,7,1648.5,4,14.6,69.7,2,0,46.2,1,2025-05-09 11:00:00,0.29,2198.0,2293.2,95.2,Slight Delay,2,3,4,3297.0,6,11,0,3
155,3,7,309.8,1,22.9,0.3,1,3,1.8,2,2025-10-29 16:00:00,0.08,413.1,419.5,6.4,On Time,1,1,3,309.8,1,16,0,1
156,7,2,229.2,4,32.4,21.2,1,0,31.2,1,2025-08-04 22:00:00,0.39,305.6,355.2,49.6,On Time,1,3,4,229.2,3,22,0,1
157,3,1,1989.8,3,12.0,57.1,3,3,49.2,1,2025-10-31 09:00:00,0.14,2653.1,2787.6,134.5,Moderate Delay,4,4,3,7959.2,16,9,1,3
