shipment_id,origin,destination,distance_km,weather_condition,temperature,rainfall,traffic_level,route_type,package_weight,shipment_type,dispatch_time,historical_delay_rate,estimated_delivery_time,actual_delivery_time,delay_minutes,delay_status
20,Jaipur,Hyderabad,1390.0,Heavy Rain,32.8,21.8,Low,Highway,35.8,Express,2025-06-07 13:00:00,0.14,1853.3,1923.6,70.3,Moderate Delay
21,Mumbai,Kolkata,1145.3,Storm,13.3,32.6,Low,Highway,13.6,Same-Day,2025-09-06 08:00:00,0.15,1527.1,1671.9,144.8,Moderate Delay
22,Ahmedabad,Bangalore,995.2,Cloudy,16.8,3.6,Severe,City Road,14.4,Express,2025-09-28 19:00:00,0.01,1326.9,1447.8,120.9,Moderate Delay
23,Chennai,Jaipur,752.9,Fog,10.5,0.0,Medium,Rural Road,46.5,Express,2025-12-10 17:00:00,0.26,1003.9,1096.0,92.1,Moderate Delay
24,Raipur,Jaipur,355.6,Heavy Rain,29.5,75.2,Low,City Road,35.0,Standard,2025-02-02 16:00:00,0.34,474.1,568.0,93.9,Moderate Delay
25,Mumbai,Jaipur,1757.2,Cloudy,35.9,3.5,Medium,Highway,35.3,Standard,2025-12-29 07:00:00,0.22,2342.9,2436.9,94.0,Moderate Delay
26,Chennai,Delhi,1600.6,Clear,32.7,0.0,High,Highway,35.2,Same-Day,2025-05-02 14:00:00,0.48,2134.1,2248.8,114.7,Moderate Delay
27,Raipur,Chennai,91.2,Storm,26.3,45.7,Medium,Mixed,14.7,Standard,2025-08-31 19:00:00,0.35,121.6,225.0,103.4,Moderate Delay
28,Chennai,Delhi,447.3,Clear,31.8,0.0,Severe,Rural Road,4.7,Express,2025-07-30 20:00:00,0.03,596.4,704.5,108.1,Moderate Delay
29,Mumbai,Bangalore,1042.3,Clear,21.3,0.0,Severe,Rural Road,39.9,Standard,2025-05-08 12:00:00,0.16,1389.7,1495.8,106.1,Moderate Delay
30,Chennai,Jaipur,363.1,Heavy Rain,15.5,23.8,Medium,Mixed,27.7,Standard,2025-05-23 20:00:00,0.43,484.1,612.0,127.9,Moderate Delay
31,Chennai,Delhi,1231.2,Heavy Rain,24.7,23.6,Low,Highway,18.1,Same-Day,2025-10-04 06:00:00,0.45,1641.6,1711.0,69.4,Moderate Delay
32,Delhi,Kolkata,213.7,Cloudy,27.2,2.4,Severe,Mixed,9.1,Express,2025-04-20 18:00:00,0.26,284.9,415.7,130.8,Moderate Delay
33,Mumbai,Chennai,1259.2,Heavy Rain,27.6,69.2,Low,Mixed,33.1,Express,2025-08-21 15:00:00,0.1,1678.9,1731.5,52.6,Slight Delay
34,Pune,Jaipur,1293.7,Fog,26.0,0.0,Severe,City Road,27.5,Standard,2025-06-01 12:00:00,0.56,1724.9,1929.8,204.9,Severe Delay
35,Mumbai,Jaipur,219.5,Clear,10.6,0.0,High,Highway,5.2,Standard,2025-10-27 21:00:00,0.41,292.7,356.8,64.1,Moderate Delay
36,Ahmedabad,Jaipur,1399.5,Cloudy,32.0,4.4,Low,Highway,36.9,Standard,2025-02-05 08:00:00,0.48,1866.0,1946.3,80.3,Moderate Delay
37,Chennai,Raipur,837.0,Clear,23.0,0.0,Medium,Highway,38.9,Same-Day,2025-02-11 19:00:00,0.2,1116.0,1173.3,57.3,Slight Delay
38,Jaipur,Ahmedabad,653.7,Rain,41.3,34.2,High,City Road,1.0,Same-Day,2025-06-10 13:00:00,0.54,871.6,991.7,120.1,Moderate Delay
39,Kolkata,Raipur,1271.0,Cloudy,25.7,1.5,High,Mixed,16.8,Express,2025-02-07 06:00:00,0.4,1694.7,1793.8,99.1,Moderate Delay
40,Raipur,Delhi,894.2,Clear,41.1,0.0,Medium,Rural Road,17.9,Standard,2025-06-28 08:00:00,0.07,1192.3,1232.1,39.8,Slight Delay
41,Chennai,Pune,1407.9,Rain,12.5,66.6,Medium,Mixed,35.5,Same-Day,2025-12-27 15:00:00,0.05,1877.2,1932.7,55.5,Slight Delay
42,Jaipur,Ahmedabad,185.3,Clear,37.2,0.0,High,Highway,28.1,Standard,2025-05-16 09:00:00,0.25,247.1,307.8,60.7,Moderate Delay
43,Delhi,Jaipur,131.5,Cloudy,14.2,0.6,High,Rural Road,32.6,Same-Day,2025-04-18 16:00:00,0.45,175.3,276.8,101.5,Moderate Delay
44,Chennai,Hyderabad,166.1,Storm,29.4,77.7,Severe,Rural Road,26.4,Standard,2025-02-17 19:00:00,0.38,221.5,429.4,207.9,Severe Delay
45,Kolkata,Mumbai,110.0,Clear,19.8,0.0,High,City Road,47.5,Same-Day,2025-05-15 11:00:00,0.53,146.7,239.4,92.7,Moderate Delay
46,Raipur,Jaipur,173.9,Fog,44.1,0.0,Severe,Highway,49.3,Standard,2025-02-08 10:00:00,0.42,231.9,336.1,104.2,Moderate Delay
47,Ahmedabad,Mumbai,1823.6,Rain,38.8,76.2,Medium,Mixed,36.4,Standard,2025-01-22 15:00:00,0.37,2431.5,2525.0,93.5,Moderate Delay
48,Hyderabad,Mumbai,1974.8,Rain,15.3,49.6,Medium,City Road,19.4,Same-Day,2025-02-22 17:00:00,0.58,2633.1,2743.2,110.1,Moderate Delay
49,Ahmedabad,Pune,131.6,Storm,40.3,66.0,Medium,City Road,50.0,Standard,2025-04-01 19:00:00,0.6,175.5,310.4,134.9,Moderate Delay
50,Mumbai,Chennai,1909.0,Fog,31.2,0.0,High,Mixed,11.8,Same-Day,2025-05-08 14:00:00,0.4,2545.3,2679.5,134.2,Moderate Delay
51,Bangalore,Delhi,1549.2,Heavy Rain,28.2,68.9,Low,Mixed,27.8,Standard,2025-04-13 20:00:00,0.34,2065.6,2185.5,119.9,Moderate Delay
52,Hyderabad,Kolkata,441.7,Cloudy,14.8,0.1,Medium,Highway,17.9,Same-Day,2025-04-09 18:00:00,0.35,588.9,635.6,46.7,Slight Delay
53,Hyderabad,Kolkata,1571.6,Clear,23.9,0.0,High,Rural Road,31.3,Same-Day,2025-09-18 18:00:00,0.52,2095.5,2194.6,99.1,Moderate Delay
54,Ahmedabad,Hyderabad,995.4,Clear,21.5,0.0,Low,Rural Road,31.9,Standard,2025-10-25 14:00:00,0.14,1327.2,1356.9,29.7,Slight Delay
55,Mumbai,Bangalore,1288.9,Storm,16.4,30.9,Severe,Rural Road,44.9,Same-Day,2025-06-10 19:00:00,0.28,1718.5,1879.1,160.6,Moderate Delay
56,Jaipur,Ahmedabad,195.6,Clear,14.2,0.0,Severe,City Road,23.3,Express,2025-01-23 19:00:00,0.12,260.8,364.1,103.3,Moderate Delay
57,Mumbai,Jaipur,1263.2,Storm,12.9,70.5,Medium,Rural Road,46.1,Express,2025-02-05 16:00:00,0.04,1684.3,1791.2,106.9,Moderate Delay
58,Jaipur,Hyderabad,1244.1,Fog,22.9,0.0,Low,Rural Road,23.4,Same-Day,2025-06-08 19:00:00,0.45,1658.8,1726.4,67.6,Moderate Delay
59,Hyderabad,Raipur,1073.6,Fog,13.8,0.0,High,City Road,22.6,Standard,2025-08-04 18:00:00,0.32,1431.5,1530.3,98.8,Moderate Delay
60,Bangalore,Hyderabad,257.1,Heavy Rain,41.2,49.5,Low,Rural Road,34.1,Express,2025-04-18 19:00:00,0.47,342.8,428.0,85.2,Moderate Delay
61,Jaipur,Hyderabad,874.7,Heavy Rain,14.5,26.3,Severe,Mixed,18.5,Same-Day,2025-04-20 22:00:00,0.39,1166.3,1319.3,153.0,Moderate Delay
62,Raipur,Bangalore,389.4,Fog,20.0,0.0,Low,Rural Road,9.1,Same-Day,2025-12-06 16:00:00,0.54,519.2,572.3,53.1,Slight Delay
63,Delhi,Kolkata,807.8,Fog,43.9,0.0,High,City Road,43.3,Standard,2025-03-17 06:00:00,0.49,1077.1,1194.3,117.2,Moderate Delay
64,Mumbai,Kolkata,1543.6,Heavy Rain,16.5,29.3,Low,Mixed,21.6,Express,2025-11-19 12:00:00,0.3,2058.1,2151.1,93.0,Moderate Delay
65,Pune,Ahmedabad,325.6,Heavy Rain,26.8,44.9,Medium,City Road,3.1,Same-Day,2025-12-19 06:00:00,0.2,434.1,525.6,91.5,Moderate Delay
66,Delhi,Raipur,1525.3,Cloudy,30.8,2.4,Medium,Mixed,20.9,Standard,2025-10-13 13:00:00,0.21,2033.7,2094.0,60.3,Moderate Delay
67,Delhi,Ahmedabad,1877.9,Cloudy,16.3,0.3,Severe,Rural Road,37.2,Express,2025-11-10 22:00:00,0.34,2503.9,2629.1,125.2,Moderate Delay
68,Pune,Jaipur,1337.1,Heavy Rain,28.3,31.9,Medium,Mixed,43.9,Express,2025-05-13 13:00:00,0.24,1782.8,1888.1,105.3,Moderate Delay
69,Kolkata,Jaipur,1500.3,Heavy Rain,27.6,22.4,Medium,Rural Road,45.0,Express,2025-02-09 15:00:00,0.23,2000.4,2099.9,99.5,Moderate Delay
70,Chennai,Hyderabad,295.8,Rain,37.8,51.5,High,Highway,26.9,Standard,2025-03-19 13:00:00,0.54,394.4,505.7,111.3,Moderate Delay
71,Pune,Bangalore,86.4,Fog,29.9,0.0,Medium,Highway,38.2,Express,2025-07-28 16:00:00,0.53,115.2,190.4,75.2,Moderate Delay
72,Ahmedabad,Raipur,316.8,Heavy Rain,18.0,59.2,Low,City Road,36.1,Express,2025-07-19 06:00:00,0.38,422.4,501.1,78.7,Moderate Delay
73,Jaipur,Pune,1818.7,Heavy Rain,30.4,35.1,Low,Rural Road,23.4,Express,2025-07-19 19:00:00,0.57,2424.9,2546.6,121.7,Moderate Delay
74,Ahmedabad,Jaipur,1846.5,Storm,34.8,16.4,Medium,Mixed,29.0,Standard,2025-05-20 19:00:00,0.36,2462.0,2637.6,175.6,Moderate Delay
75,Raipur,Mumbai,244.2,Heavy Rain,44.5,67.9,High,Mixed,6.7,Same-Day,2025-03-26 20:00:00,0.55,325.6,455.0,129.4,Moderate Delay
76,Bangalore,Jaipur,29.2,Clear,21.7,0.0,Severe,Highway,20.2,Standard,2025-11-26 19:00:00,0.32,38.9,124.7,85.8,Moderate Delay
77,Bangalore,Ahmedabad,464.7,Cloudy,25.8,0.7,Low,Rural Road,9.2,Express,2025-06-17 12:00:00,0.3,619.6,660.9,41.3,Slight Delay
78,Raipur,Hyderabad,189.0,Rain,44.9,42.7,Severe,Rural Road,30.0,Express,2025-05-10 08:00:00,0.04,252.0,347.9,95.9,Moderate Delay
79,Raipur,Mumbai,92.4,Fog,26.5,0.0,Low,Rural Road,28.5,Standard,2025-11-29 08:00:00,0.04,123.2,165.5,42.3,Slight Delay
80,Mumbai,Delhi,380.2,Cloudy,40.2,4.7,Medium,Highway,19.0,Same-Day,2025-03-20 13:00:00,0.16,506.9,535.2,28.3,Slight Delay
81,Bangalore,Ahmedabad,1324.7,Fog,10.9,0.0,Low,City Road,11.5,Express,2025-12-25 14:00:00,0.14,1766.3,1837.6,71.3,Moderate Delay
82,Hyderabad,Bangalore,216.9,Storm,18.5,59.2,Low,City Road,42.9,Express,2025-02-25 06:00:00,0.5,289.2,418.8,129.6,Moderate Delay
83,Kolkata,Raipur,45.7,Heavy Rain,13.0,20.6,Medium,Highway,1.8,Same-Day,2025-12-20 13:00:00,0.11,60.9,112.2,51.3,Slight Delay
84,Delhi,Hyderabad,1188.8,Fog,19.4,0.0,Low,Highway,31.4,Express,2025-09-30 19:00:00,0.25,1585.1,1650.3,65.2,Moderate Delay
85,Hyderabad,Delhi,297.4,Storm,40.4,41.6,High,Highway,44.8,Express,2025-09-08 09:00:00,0.48,396.5,519.5,123.0,Moderate Delay
86,Pune,Hyderabad,1673.2,Fog,44.5,0.0,Severe,City Road,26.5,Express,2025-04-01 22:00:00,0.1,2230.9,2356.6,125.7,Moderate Delay
87,Kolkata,Jaipur,562.6,Heavy Rain,29.4,53.9,Severe,Mixed,41.6,Same-Day,2025-10-31 14:00:00,0.12,750.1,886.9,136.8,Moderate Delay
88,Hyderabad,Chennai,367.2,Clear,42.0,0.0,High,Mixed,21.2,Standard,2025-08-26 18:00:00,0.23,489.6,554.0,64.4,Moderate Delay
89,Hyderabad,Mumbai,1214.2,Heavy Rain,18.6,34.2,High,City Road,14.8,Express,2025-04-19 17:00:00,0.21,1618.9,1760.1,141.2,Moderate Delay
90,Kolkata,Pune,445.6,Rain,11.1,24.7,High,Highway,30.0,Same-Day,2025-04-08 08:00:00,0.03,594.1,660.6,66.5,Moderate Delay
91,Chennai,Raipur,168.8,Heavy Rain,35.5,42.2,Medium,Mixed,34.6,Same-Day,2025-12-31 21:00:00,0.26,225.1,281.4,56.3,Slight Delay
92,Raipur,Mumbai,201.3,Clear,42.1,0.0,High,City Road,7.3,Express,2025-12-21 13:00:00,0.57,268.4,375.5,107.1,Moderate Delay
93,Kolkata,Pune,1617.0,Heavy Rain,33.1,56.9,High,Mixed,42.5,Same-Day,2025-10-09 16:00:00,0.15,2156.0,2292.8,136.8,Moderate Delay
94,Hyderabad,Ahmedabad,377.5,Rain,29.9,73.7,High,Rural Road,2.2,Standard,2025-03-03 12:00:00,0.42,503.3,627.8,124.5,Moderate Delay
95,Hyderabad,Delhi,1726.8,Fog,39.6,0.0,Medium,City Road,16.3,Standard,2025-09-05 14:00:00,0.5,2302.4,2385.0,82.6,Moderate Delay
96,Jaipur,Ahmedabad,1455.0,Storm,12.3,28.6,High,Highway,27.2,Standard,2025-06-01 13:00:00,0.47,1940.0,2111.3,171.3,Moderate Delay
97,Hyderabad,Bangalore,68.3,Rain,40.5,6.6,Low,City Road,43.8,Express,2025-01-24 07:00:00,0.32,91.1,157.7,66.6,Moderate Delay
98,Ahmedabad,Kolkata,1262.5,Fog,40.6,0.0,Medium,Mixed,49.2,Standard,2025-01-07 15:00:00,0.46,1683.3,1748.2,64.9,Moderate Delay
99,Raipur,Ahmedabad,722.2,Heavy Rain,20.1,27.2,High,City Road,12.1,Standard,2025-05-10 21:00:00,0.03,962.9,1090.5,127.6,Moderate Delay
100,Delhi,Bangalore,1890.6,Heavy Rain,26.4,51.0,Severe,Highway,8.8,Same-Day,2025-11-19 07:00:00,0.59,2520.8,2725.4,204.6,Severe Delay
101,Bangalore,Chennai,476.7,Storm,16.2,21.5,High,Highway,9.7,Standard,2025-03-02 19:00:00,0.47,635.6,796.4,160.8,Moderate Delay
102,Jaipur,Chennai,1398.1,Storm,15.4,66.2,Severe,Mixed,11.6,Express,2025-06-02 19:00:00,0.13,1864.1,2047.2,183.1,Severe Delay
103,Kolkata,Mumbai,545.9,Storm,14.5,71.7,Low,City Road,47.8,Same-Day,2025-04-19 14:00:00,0.52,727.9,842.5,114.6,Moderate Delay
104,Delhi,Chennai,1452.4,Cloudy,27.4,0.4,Medium,Highway,11.4,Standard,2025-01-02 19:00:00,0.41,1936.5,2006.4,69.9,Moderate Delay
105,Raipur,Ahmedabad,1652.9,Rain,22.2,55.9,Low,City Road,28.5,Express,2025-12-28 15:00:00,0.16,2203.9,2311.3,107.4,Moderate Delay
106,Raipur,Delhi,1401.0,Fog,33.8,0.0,Medium,Rural Road,31.1,Same-Day,2025-10-29 12:00:00,0.45,1868.0,1974.3,106.3,Moderate Delay
107,Pune,Delhi,275.2,Storm,21.7,60.8,Medium,City Road,8.5,Express,2025-03-14 08:00:00,0.49,366.9,512.4,145.5,Moderate Delay
108,Mumbai,Chennai,534.4,Rain,32.2,45.5,High,Mixed,39.1,Standard,2025-08-28 15:00:00,0.06,712.5,803.4,90.9,Moderate Delay
109,Pune,Kolkata,1865.4,Storm,13.6,75.3,Severe,Mixed,34.6,Standard,2025-11-03 07:00:00,0.04,2487.2,2683.8,196.6,Severe Delay
110,Pune,Hyderabad,1745.6,Storm,44.1,77.7,High,Highway,37.6,Standard,2025-04-28 06:00:00,0.08,2327.5,2471.7,144.2,Moderate Delay
111,Kolkata,Mumbai,1545.4,Cloudy,33.9,2.2,Severe,Mixed,14.0,Express,2025-04-03 19:00:00,0.6,2060.5,2240.1,179.6,Moderate Delay
112,Raipur,Delhi,561.1,Heavy Rain,43.3,16.3,High,Mixed,21.9,Express,2025-06-14 09:00:00,0.57,748.1,911.2,163.1,Moderate Delay
113,Bangalore,Pune,830.5,Heavy Rain,41.3,22.2,Severe,Rural Road,11.0,Same-Day,2025-07-25 07:00:00,0.02,1107.3,1259.0,151.7,Moderate Delay
114,Raipur,Delhi,1557.7,Rain,37.0,68.4,High,Rural Road,38.2,Standard,2025-07-26 22:00:00,0.38,2076.9,2202.1,125.2,Moderate Delay
115,Mumbai,Jaipur,973.4,Heavy Rain,14.1,14.4,Severe,Highway,34.4,Standard,2025-09-23 17:00:00,0.26,1297.9,1441.1,143.2,Moderate Delay
116,Jaipur,Raipur,921.3,Fog,10.4,0.0,Severe,Highway,4.1,Standard,2025-05-17 10:00:00,0.24,1228.4,1394.4,166.0,Moderate Delay
117,Kolkata,Ahmedabad,1564.1,Fog,11.4,0.0,Severe,Highway,24.3,Standard,2025-11-19 13:00:00,0.06,2085.5,2254.7,169.2,Moderate Delay
118,Bangalore,Hyderabad,39.3,Storm,21.4,43.8,Low,Mixed,4.8,Standard,2025-04-26 09:00:00,0.21,52.4,143.9,91.5,Moderate Delay
119,Raipur,Delhi,1385.1,Fog,38.0,0.0,Medium,Mixed,10.4,Same-Day,2025-05-30 22:00:00,0.1,1846.8,1911.1,64.3,Moderate Delay
120,Kolkata,Raipur,1423.9,Heavy Rain,40.5,58.6,Severe,City Road,40.2,Express,2025-10-10 10:00:00,0.2,1898.5,2070.8,172.3,Moderate Delay
121,Pune,Chennai,915.6,Storm,32.5,44.5,Medium,Highway,36.7,Express,2025-08-01 16:00:00,0.05,1220.8,1312.6,91.8,Moderate Delay
122,Ahmedabad,Kolkata,1324.2,Clear,27.4,0.0,High,Rural Road,28.0,Same-Day,2025-10-24 21:00:00,0.43,1765.6,1869.6,104.0,Moderate Delay
123,Bangalore,Ahmedabad,1366.9,Storm,12.5,7.3,Severe,Rural Road,13.3,Express,2025-10-10 18:00:00,0.28,1822.5,2035.0,212.5,Severe Delay
124,Raipur,Hyderabad,1456.0,Cloudy,27.0,4.4,Medium,Mixed,45.1,Standard,2025-07-30 07:00:00,0.25,1941.3,2031.5,90.2,Moderate Delay
125,Hyderabad,Ahmedabad,1270.5,Fog,35.7,0.0,Severe,Mixed,7.0,Same-Day,2025-11-30 10:00:00,0.43,1694.0,1849.1,155.1,Moderate Delay
126,Raipur,Mumbai,509.5,Cloudy,40.5,2.2,High,Highway,26.0,Express,2025-02-21 22:00:00,0.22,679.3,748.2,68.9,Moderate Delay
127,Raipur,Mumbai,1320.3,Fog,21.4,0.0,Medium,Mixed,38.8,Same-Day,2025-03-21 08:00:00,0.08,1760.4,1809.3,48.9,Slight Delay
128,Raipur,Kolkata,1661.2,Rain,25.1,23.7,Severe,Highway,31.0,Express,2025-12-12 18:00:00,0.42,2214.9,2362.9,148.0,Moderate Delay
129,Hyderabad,Ahmedabad,959.8,Storm,39.5,65.4,Low,Highway,29.5,Standard,2025-11-20 15:00:00,0.52,1279.7,1378.9,99.2,Moderate Delay
130,Chennai,Delhi,1869.1,Heavy Rain,21.1,43.0,Low,Highway,2.6,Express,2025-03-27 15:00:00,0.09,2492.1,2595.3,103.2,Moderate Delay
131,Mumbai,Delhi,1738.5,Rain,25.9,43.7,Low,Rural Road,24.7,Express,2025-07-11 19:00:00,0.4,2318.0,2403.4,85.4,Moderate Delay
132,Bangalore,Kolkata,898.6,Storm,40.4,18.3,Severe,City Road,34.8,Standard,2025-03-31 08:00:00,0.5,1198.1,1450.2,252.1,Severe Delay
133,Jaipur,Pune,1149.8,Storm,11.1,74.8,Medium,Mixed,34.6,Same-Day,2025-03-15 13:00:00,0.41,1533.1,1658.4,125.3,Moderate Delay
134,Raipur,Kolkata,1569.1,Heavy Rain,29.8,60.4,High,Highway,44.0,Express,2025-05-28 11:00:00,0.24,2092.1,2227.2,135.1,Moderate Delay
135,Delhi,Ahmedabad,882.5,Rain,38.6,14.0,High,Mixed,27.5,Same-Day,2025-05-09 20:00:00,0.0,1176.7,1236.3,59.6,Slight Delay
136,Kolkata,Chennai,759.0,Heavy Rain,18.0,10.5,Severe,Highway,30.4,Standard,2025-07-15 17:00:00,0.4,1012.0,1180.6,168.6,Moderate Delay
137,Jaipur,Kolkata,968.8,Fog,10.9,0.0,High,Highway,17.4,Same-Day,2025-07-22 14:00:00,0.23,1291.7,1396.7,105.0,Moderate Delay
138,Mumbai,Delhi,1911.9,Storm,10.6,19.7,Severe,Rural Road,0.9,Standard,2025-11-07 17:00:00,0.39,2549.2,2786.0,236.8,Severe Delay
139,Chennai,Kolkata,716.2,Storm,13.5,41.4,High,City Road,13.2,Same-Day,2025-02-19 07:00:00,0.17,954.9,1087.6,132.7,Moderate Delay
140,Kolkata,Ahmedabad,838.8,Clear,14.3,0.0,High,City Road,9.5,Standard,2025-06-01 16:00:00,0.41,1118.4,1227.4,109.0,Moderate Delay
141,Pune,Bangalore,528.0,Cloudy,43.7,2.4,Medium,Rural Road,40.4,Same-Day,2025-09-14 14:00:00,0.33,704.0,767.8,63.8,Moderate Delay
142,Bangalore,Hyderabad,439.8,Heavy Rain,31.4,35.8,High,Rural Road,42.1,Standard,2025-08-28 08:00:00,0.54,586.4,732.3,145.9,Moderate Delay
143,Bangalore,Kolkata,859.0,Fog,33.4,0.0,Severe,Rural Road,5.2,Standard,2025-07-22 06:00:00,0.37,1145.3,1320.3,175.0,Moderate Delay
144,Kolkata,Jaipur,66.8,Clear,32.5,0.0,Severe,Rural Road,30.6,Same-Day,2025-12-11 14:00:00,0.33,89.1,199.2,110.1,Moderate Delay
145,Jaipur,Pune,290.2,Fog,34.3,0.0,High,Highway,20.5,Same-Day,2025-04-30 21:00:00,0.26,386.9,474.2,87.3,Moderate Delay
146,Mumbai,Jaipur,562.8,Rain,12.8,11.4,Medium,Highway,44.8,Same-Day,2025-08-26 15:00:00,0.12,750.4,800.9,50.5,Slight Delay
147,Pune,Delhi,153.9,Cloudy,38.0,1.2,Low,Highway,27.2,Express,2025-09-10 09:00:00,0.53,205.2,262.1,56.9,Slight Delay
148,Delhi,Kolkata,941.1,Storm,12.1,47.2,Medium,Mixed,47.9,Express,2025-07-09 19:00:00,0.11,1254.8,1372.0,117.2,Moderate Delay
149,Jaipur,Bangalore,1517.2,Heavy Rain,22.2,54.9,Low,Mixed,39.9,Same-Day,2025-07-28 14:00:00,0.56,2022.9,2164.0,141.1,Moderate Delay
150,Mumbai,Pune,1051.5,Cloudy,31.8,0.4,Severe,Mixed,37.9,Standard,2025-07-05 09:00:00,0.08,1402.0,1529.3,127.3,Moderate Delay
151,Hyderabad,Jaipur,541.0,Fog,22.6,0.0,High,Highway,4.8,Express,2025-05-22 12:00:00,0.56,721.3,838.2,116.9,Moderate Delay
152,Delhi,Ahmedabad,1004.0,Clear,44.7,0.0,Medium,Highway,42.6,Standard,2025-06-20 13:00:00,0.13,1338.7,1379.0,40.3,Slight Delay
153,Bangalore,Kolkata,1738.8,Clear,38.2,0.0,Medium,City Road,39.6,Standard,2025-06-18 10:00:00,0.18,2318.4,2399.8,81.4,Moderate Delay
154,Jaipur,Mumbai,1648.5,Rain,14.6,69.7,Medium,City Road,46.2,Same-Day,2025-05-09 11:00:00,0.29,2198.0,2293.2,95.2,Moderate Delay
155,Delhi,Mumbai,309.8,Cloudy,22.9,0.3,Low,Rural Road,1.8,Standard,2025-10-29 16:00:00,0.08,413.1,419.5,6.4,On Time
156,Mumbai,Chennai,229.2,Rain,32.4,21.2,Low,City Road,31.2,Same-Day,2025-08-04 22:00:00,0.39,305.6,355.2,49.6,Slight Delay
157,Delhi,Bangalore,1989.8,Heavy Rain,12.0,57.1,Severe,Rural Road,49.2,Same-Day,2025-10-31 09:00:00,0.14,2653.1,2787.6,134.5,Moderate Delay
158,Raipur,Jaipur,1993.5,Cloudy,38.5,3.1,Low,Rural Road,15.7,Express,2025-11-26 06:00:00,0.37,2658.0,2738.8,80.8,Moderate Delay
159,Mumbai,Ahmedabad,405.4,Heavy Rain,22.9,36.1,Severe,Highway,41.5,Express,2025-12-31 20:00:00,0.44,540.5,674.6,134.1,Moderate Delay
160,Delhi,Bangalore,291.5,Rain,28.7,21.1,Medium,Highway,1.1,Standard,2025-05-21 16:00:00,0.14,388.7,435.0,46.3,Slight Delay
161,Pune,Jaipur,1105.0,Rain,25.9,68.3,Severe,Mixed,5.4,Standard,2025-12-26 09:00:00,0.29,1473.3,1600.2,126.9,Moderate Delay
